eventType,comments
Other,drilled <number> hole from <number> m to <number> m flow rate  <number>  <number> lpm  spp  <number>  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs pumped <number> rapid sweeps during connection and <number> m<number> high vis lcm in middle of each stand a wash up and ream down after every drilled stand  average rop  <number> mhrs rop on bottom  <number> mhrs down hole losses  <number> m<number>hr formation dammam lithology at <number> m dolomite <number>% 
Other,drilled <number> hole from <number> m to <number> m flow rate  <number>  <number> lpm  spp  <number>  <number> psixxunitmwin  <number> sgxxunitmwout  <number> sg wob  <number>  <number> tons rpm  <number>  <number> torq  <number>  <number>xxunitkftlbs pumped <number> rapid sweeps during connection and <number> m<number> high vis lcm in middle of each stand  wash up and ream down after every drilled stand  average rop  <number> mhrs rop on bottom  <number> mhrs observed down hole losses while drilling at <number> m losses rate<number> m<number>hr pumped <number> high visc lcm  the losses rate reduced to <number> m<number>hr continued drilling and intermittently pumped high visc lcm  
Loss circulation,npt rih with oedp from surface to bottom at <number>m  down hole losses <number> m<number>hr 
Loss circulation,npt circulated to establish dynamic losses rate  flow rate <number> lpm spp <number>  <number> psi down hole losses <number> m<number>hr 
Loss circulation,npt spotted <number> high visc lcm pill flow rate <number> lpm spp <number> psi rpm <number>  down hole losses <number> m<number>hr 
Loss circulation,npt pooh from <number> m to <number> m above high visc lcm and gave lcm soaking time theoretical fill up <number> m<number> actual fill up <number> m<number> down hole losses <number> m<number>hr 
Loss circulation,npt waited for the lcm soaking time static losses <number> m<number>hr 
Loss circulation,npt waited for the lcm pill soaking timestatic losses <number> m<number>hr 
Loss circulation,npt rih with oedp from <number>m to bottom at <number> mdown hole losses <number> m<number>hr 
Loss circulation,npt circulated to establish dynamic losses rate  flow rate <number> lpm spp <number>  <number> psi down hole losses <number> m<number>hr  observed losses rate increased to <number>  <number> m<number>hr when the high visc lcm came out to shakers and shaker started to overflow reduced flow rate to <number> lpmincreased flow rate <number> lpm after lcm is out of the shaker down hole losses <number> m<number>hr 
Loss circulation,npt circulated to establish dynamic losses rate  flow rate <number> lpm spp <number>  <number> psi down hole losses <number> m<number>hr meanwhile mixed fluid for cement slurry 
Other,npt held pjsm rigged up cementing lines
Loss circulation,npt set cement plug flushed the line and pressured test to <number> psi by <number> min ok pumped <number> bbl <number> m<number> fresh water ahead  <number>  <number> bpm mix  pump on fly <number> bbl <number> m<number> of cement slurry <number> sg  <number>  <number> bpm during pumping cement  observed not losses  pumped <number> bbl <number> m<number> of fresh water behind  <number>  <number> bpm displaced with <number> bbl <number> m<number> of mud <number> sg <number>  <number> bpm      <number> bbl of under displacement during pumping cement  observed losses  <number>note reciprocated the drill string at least <number>m while pumping and displacing the cement 
Loss circulation,npt pooh <number> oedp  total <number> std from <number> m to <number>mtheoretical displacement  <number> m<number>  actual hole fill  <number> m<number>  downhole losses  <number> m<number>
Loss circulation,npt circulated one cycle  flow rate <number> lpm spp <number> psi down hole losses <number> m<number>hr observed cement on surface dumped <number> m<number> of contaminate cement 
Loss circulation,npt pooh <number> oedp stands from <number> m to <number> mtheoretical displacement  <number> m<number>  actual hole fill  <number> m<number>  downhole losses  <number> m<number>hr 
Loss circulation,npt performed flow check  static losses <number> m<number>hr 
Loss circulation,npt pooh oedp from <number>m to surface theoretical displacement  <number> m<number>  actual hole fill  <number> m<number>  downhole losses  <number> m<number>hr 
Loss circulation,npt pu racked back <number> drill collars with bit  bit sub stand bo bit bit sub and recovered totco survey barrel bit dull grading <number>btnxicttd inclination <number> deg at <number>m  
Other,pressure testing bop stack to <number> psi for <number> mins in progress recovered wear bushingpick up and set test plug in chhpressure tested annular ram pipe ram against choke line master valve and hcr valve at <number> psi for <number> mins and <number> psi for <number> mins 
Other,pressure tested blind rams at <number> psi for <number> mins and <number> psi for <number> mins  rd bop pressure test assembly installed wear bushing pressure tested fosv and ibop at <number> psi for <number> mins and <number> psi for <number> mins 
Loss circulation,npt mu same used <number> pdc bit with bha and rih to <number> m theoretical displacement  <number> m<number>  actual displacementl  <number> m<number>downhole losses <number> m<number>hr
Loss circulation,npt rih <number>  dp from <number> m to <number> mtheoretical displacement <number> m<number>  actual displacementl  <number> m<number>no downhole losses filled up string every <number> stand
Loss circulation,npt performed flow check well static
Loss circulation,services tdsflow rate <number> lmn spp  <number> psino downhole losses
Loss circulation,npt circulated flow rate <number> lpm spp  <number> psi no downhole lossesnote  observed cement sample in oven at <number> deg centigrade temp hard
Loss circulation,npt rih <number>  dp from <number> m to <number> mtheoretical displacement  <number> m<number>  actual displacementl  <number> m<number>no downhole losses
Loss circulation,npt wash down from <number> m to tag top of cement at <number> m  with maximum <number> tons slack of weight  down hole losses <number> m<number>hr 
Loss circulation,npt drilled soft cement from <number> m to <number> m flow rate <number>  <number> lpm spp <number>  <number> psi rpm <number> trq <number>  <number> kftlbs wob <number> tons average rop  <number> mhrs rop on bottom   <number> mhrs observed on shaker <number>% of cement pumped <number> high visc in the middle of each stand   observed shakers overflow due to plugging of shaker screens with soft cement changed two shakers screens with <number> mesh size to avoid overflow of mud down hole losses <number> m<number>hr   
Loss circulation,npt drilled soft cement from <number> m to <number> m flow rate <number>  <number> lpm spp <number>  <number> psi rpm <number> trq <number>  <number> kftlbs wob <number> tons average rop  <number> mhrs rop on bottom   <number> mhrs pumped <number> high visc in the middle of each stand   observed on shaker <number>% of cement observed shakers overflow due to plugging of shaker screens with soft cement  down hole losses <number> m<number>hr  note bit krev daily  cumm  <number>  <number> rotating hours<number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> jar sn <number>h today hrs <number>  cum hrs <number> hrs  
Loss circulation,npt drilled soft cement from <number> m to <number> m flow rate <number>  <number> lpm spp <number>  <number> psi rpm <number> trq <number>  <number> kftlbs wob <number> tons average rop  <number> mhrs rop on bottom   <number> mhrs pumped <number> high visc in the middle of each stand  observed on shaker <number>% of cement  down hole losses <number> m<number>hr  
Loss circulation,npt drilled cement from <number> m to <number> m flow rate  <number> lpm  spp  <number> psi wob  <number> tons rpm  <number> torq  <number>xxunitkftlbsxxunitmwin  <number> sgxxunitmwout  <number> sg average rop  <number> mhrs rop on bottom  <number> mhrslast sample moderate hard cement <number>% down hole losses  <number> m<number> hr
Loss circulation,npt pumped <number> m<number> hivis and circulated one cycleflow <number> lpm spp  <number> psidown hole losses  <number> m<number>hr after circulate one cycle observed too much cement in shaker continue circulating until shaker is clean cleaned possum belly and shaker box ok last sample moderate hard cement <number>%
Loss circulation,npt performed flow check static losses <number> m<number>hr
Loss circulation,npt spotted <number> m<number> high visc lcm across hartha formation flow rate <number> lpm spp <number> psi rpm <number> trq <number> kftlbs  down hole losses <number> m<number>hr 
Loss circulation,npt pooh from <number> m to <number> m observed tight spot at <number> m  worked on string with maximum <number>  <number> tons over pull to pass through re passed the point  free  theoretical hole fill up <number> m<number> actual hole fill up <number> m<number>  down hole losses <number> m<number>hr 
Loss circulation,npt performed flow check  static losses at <number> m<number>hr 
Loss circulation,npt spotted <number> high visc lcm across dammam formation flow rate <number> lpm spp <number> psi rpm <number> trq <number> kftlbs  down hole losses <number> m<number>hr 
Loss circulation,npt pooh from <number> m to <number>m inside <number> casing shoe theoretical hole fill up <number> m<number> actual hole fill up <number> m<number>  down hole losses <number> m<number>hr  
Loss circulation,npt slip <number> m and cut <number> m drilling line meanwhile continue to monitor well via trip tank  reset acs and crown o matic system and function tested the same calibrated geoservice hook height and hook load sensors down hole losses <number> m<number>hr    
Loss circulation,npt pooh from <number>m to <number>m theoretical hole fill <number> m<number> actual hole fill <number> m<number>  down hole loss <number> m<number>hr note bit krev daily  cumm  <number>  <number> rotating hours<number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> sstab sn <number>h today hrs <number> hrs cum hrs <number> hrs <number> jar sn <number>h today hrs <number>  cum hrs <number> hrs  
Loss circulation,npt pooh from <number>m to <number>m top of bha theoretical hole fill <number> m<number> actual hole fill <number> m<number>  down hole loss <number> m<number>hr 
Loss circulation,npt performed flow check  static losses at <number> m<number>hr  
Loss circulation,npt pooh and lay down bha from <number>m to surface  theoretical hole fill <number> m<number> actual hole fill <number> m<number> down hole losses <number> m<number>hr   bit dull grading <number>  <number>  bt xxunitn x i ct  td 
Other,retrieved wear bushing  rd <number> drill pipe handling equipment  retrieve wear bushingrd <number>'' dp elevator   
Other,ru tesco equipment and function test pu and mu tesco casing running tools  perform cds function test 
Other,pu and mu <number> pup joint casing hanger landing joint and ld same 
Stuck Pipe,got stuck at <number> while reaming up stand worked string with circulation unable to rotate torque higher them <number> klbft and got free partial packoff <number> gpm <number> psi out of bottom pumped <number>xxunitbbllo and <number>xxunitbblhivis
Other,drilled <number> hole from <number> to <number> ft wob <number> total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr inc <number> az <number> compared to plan <number>xxunitftabove and <number>xxunitftleft reaming up and down twice each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observedjar rotating hours <number>
Other,drilled <number> hole from <number>xxunitft<number> ft wob <number> total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observed
Other,observed leakagexxunitinrotary hose tds connection rack back one stand tighten the connection
Other,drilled <number> hole from <number>xxunitftto <number> ftwob <number> total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observed
Other,observed leakagexxunitinrotary hose seal to tds connection replaced demaged seal
Other,drilled <number> hole from <number>xxunitftto <number> ft wob <number> total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr last survey <number> ft inc <number> az <number> compared to plan <number>xxunitftabove <number>xxunitftright reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observedjar rotating hours <number> h
Other,drill <number> hole from from <number>xxunitftto <number> ft wob <number> torque <number> to <number> klbft total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr last survey <number> ft inc <number> az <number> compared to plan <number>xxunitftabove <number>xxunitftright reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observedjar rotating hours <number> h
Other,drill <number> hole from from <number>xxunitftto <number> ft wob <number> torque <number> to <number> klbft total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number>xxunitfth avg rop <number> fthr last survey <number> ft inc <number> az <number>  reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observedjar rotating hours <number> htds installed while drilling at <number>xxunitftwith high torque <number>k pressure raised from <number> to <number> psi string got free while pick up and pressure backs to normal ream circulate and sweep hilo vis
Other,stop drilling <number>xxunitftto rectify problem with high inclination and rss downlink circulate and rotate
Other,continue drilling with low parameters to drop  inclination from <number> to <number> ftwob <number> torque <number> to <number> klbft total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi reaming up and down once each stand sweeping hole with <number>xxunitbbllo and <number> bll hi vis each stand no losses observed
Other,drilled <number> hole from <number> to <number>xxunitftwell tdwob <number> torque <number> to <number> klbft total rpm <number> surface <number> motor <number> gpm spp <number> psi motor diff pressure <number> psi on bottom rop <number> fth avg rop <number> fth last survey proj bit <number> inc <number> az <number> compared to plan <number>xxunitftbelow <number>xxunitftleft no losses observed
Other,criculate hole prior to pooh to <number> casing shoe reciprocating string with <number> gpm <number> rpm circulated <number> bottoms up pumped <number>xxunitbbllo and <number>xxunitbblhivis before each bottoms up shakers clean no losses observed
Other,flow check well static
Other,pooh from <number> to <number> ft observed tight hole observed <number> klb overpull back reaming from <number> to <number> ft pooh on elevator from <number> to <number> ft
Loss circulation,npt pooh from <number>m to <number>m meanwhile performed top fill cement job for <number> x <number> annulus
Loss circulation,npt circulated and cleaned <number> oedp assembly at <number> lpm flowarate
Other,npt woc  pooh from <number>m to <number>m meanwhile cleaned and drifted <number> casing joints house keeping of rig floor and chemical area conducted ip drill with am crew 
Other,npt woc attempted to establish circulation on diffrent pumping rates returns at surface at <number> lpm no returns when flowrate reduced below <number> lpm
Other,npt rih with <number> oedp from <number>m to <number>m  connected tds and washed down with <number> lpm from <number>m to <number>m tagged toc at <number>m spp increased confirming toc
Loss circulation,npt circulated hole with <number> lpm flow rate with <number>% returns to surface while preparing for cement plug joboffline activities prepared <number> casing tally hse specialist at location reviewing applicable jsa wellhead section b checked and confirmed by cameron engineer prepared <number> casing joints to be sent to idc<number> rig
Other,held safety meeting prior to cement plug operation
Other,npt  rigged up side entry sub and safety valve rigged up and flushed cementing lines
Other,nptcement plug job  <number> pressure tested cementing lines to <number>i psi test ok pumped <number> bbls <number> m<number> of well water <number> sg  <number> bpm <number> lpm mixed  pumped <number> bbls <number> of cement slurry <number> sg  <number> bpm <number> lpm pumped <number> bbls <number> m<number> of well water behind  <number> bpm <number> lpm no returns to surface during cement plug pumping job
Loss circulation,npt rigged down side entry sub and safety valve pooh from <number>m to <number>m
Loss circulation,npt connected tds circulated and cleaned <number> oedp string with <number> lpm flow rate no returns to suface
Other,npt wait on cement stopped circulation pooh from <number>m to <number>m continued working on house keeping of welding and storage area
Other,npt continued wait on cement made preparation for cement plug job  <number>
Loss circulation,npt pumped at <number> lpm to fill in  hole no returns at surface
Loss circulation,npt increased pump rate to <number> lpm to establish loss rate returns at surface total downhole loss rate  <number>hr
Loss circulation,npt rih with <number> oedp string from <number>m to <number>m
Loss circulation,npt rih  <number> oedp washing down at <number> lpm from <number>m to <number>m  tagged toc at <number>m spp increased confirming toc
Loss circulation,npt  pooh from <number>m to <number>m circulated hole with <number> lpm no returns to surface finalized cement plug volume for plug <number>
Other,held safety meeting prior to cement plug job  <number>
Other,nptcement plug job  <number> pressure tested cementing lines to <number>i psi test ok pumped <number> bbl <number> m<number> of well water <number> bpm <number> lpm mixed  pumped <number> bbl <number> of cement slurry <number> sg  <number>bpm <number> lpm pumped <number> bbl <number> m<number> of well water behind <number> bpm <number> lpm
Other,npt rigged down side entry sub and safety valve pooh from <number>m to <number>m <number> stands
Other,npt wait on cement continued working on house keeping of welding and storage area
Other,npt establish pumping rate to <number> lpm with <number> psi returns at surface total downhole loss rate  <number>hr
Other,npt rih with <number> oedp string from <number>m to <number>m washed down till tagged toc  <number>m confirm by pressure increase pu <number>m off btm to <number>m
Other,npt ld <number> single jt pu pup jt  rih to <number>m <number>m above toc  <number>m rigged up side entry sub and safety valve rigged up and flushed cementing lines
Other,npt prepare the mixing fluid for cmt slurry on reserve mud pit for cement plug<number>
Other,npt held safety meeting prior to cement plug job  <number>
Other,nptcement plug job  <number> pressure tested cementing lines to <number>i psi test ok pumped <number> bbl <number> m<number> of well water  <number> bpm <number> lpm mixed  pumped <number> bbl <number> of cement slurry <number> sg  <number> bpm <number> lpm pumped <number> bbl <number> m<number> of well water behind <number> bpm <number> lpm had good returns after pumping <number> bbls <number> bbls of water  <number> bbls of cmt slurry
Other,conducted fire drill good response from fire team all personnel reported to muster point
Other,npt connected tds circulated and cleaned <number> oedp string with <number> lpm flow rate had returns to suface with avg dynamic down hole loss rate <number> m<number>hr
Loss circulation,npt circulated to fill in hole and establish loss rate at different flow rates returns at surface once returns at surface circulated at <number> lpm for <number> min loss rate <number> m<number>hr increased flow rate to <number> lpm for <number> min loss rate <number> m<number>hr
Other,npt leak in flowline and jumbo box overflow increased flowrate to <number> lpm trip tank hose connection came off fixed it back jumbo box overflow troubleshoot and fixed
Loss circulation,npt circulated to fill in hole and establish loss rate at different flow rates avg loss rate <number> m<number>hr at <number> lpm decision made to rih <number> bha
Loss circulation,npt pooh <number> oedp from <number>m to surface
Loss circulation,npt mu <number> bha and rih to <number>m pu <number> pdc bit mdi<number>lpx smith <number> nozzles bit sub with float valve and totco ring mu <number> dc  roller reamer  <number> x <number> dc  roller reamer  <number> x <number> dc  jar  <number> x <number> dc  xo  <number> x <number> dc  <number> x <number> hwdp
Loss circulation,npt rih <number> dp from <number>m to <number>m washing down at <number> lpm to <number>m avg downhole loss rate <number>hr tagged toc  <number>m
Loss circulation,npt drill out cmt from <number>m to <number>m flow pumps <number> lpm spp <number> psi rpm <number> torque <number> kftlbs wob <number> ton  avg overall rop  <number> mhr  avg on bottom rop  <number> mhr  average dynamic loss<number>hr dynamic losses increased to <number> m<number>hr and then dropped to <number> m<number>hr after pumping <number> hivis sweep
Loss circulation,npt  rih free and washed down from <number>m to btm  <number>m flow rate <number> lpm spp <number> psi  rpm <number> torque <number> kftlbs average dynamic loss<number>hr
Other,resumed rotary drlg <number> vertical hole from <number>m to <number>m  flow rate <number> lm spp  <number> psi  wob  <number>mt  rpm <number> torque  <number> klbsft ropaob <number>mhr  ropao  <number>hr dynamic down hole loss rate <number>hr  mwin  <number> sg mwout <number> sg formation ummerradhuma
Other,totco survey  <number>minclination  <number> deg
Other,rotary drlg <number> vertical hole from <number>m to <number>m  flow rate <number> lm spp  <number> psi wob  <number>mt  rpm <number> torque  <number> klbsft ropaob <number>mhr  ropao  <number>hr dynamic down hole loss <number> m<number>hr total down hole loss <number>xxunitmwin<number> sg mw out <number> sg formation ummerradhuma reamed and back reamed each stand driled pumped <number> of hivislcm each stand drilled
Other,serviced top drive
Other,rotary drlg <number> vertical hole from <number>m to <number>m  flow rate <number> lm spp  <number> psi wob  <number>mt rpm <number> torque  <number> klbsft ropaob <number>mhr  ropao  <number>mhr dynamic down hole loss rate <number>hr total down hole loss <number> xxunitmwin<number> sg mw out <number> sg formation ummerradhuma reamed and back reamed each stand driled twice pumped <number> of hivislcm each stand drilled lcm returns at surface 
Other,rotary drlg <number> vertical hole from <number>m to <number>m flow rate <number> lm spp  <number> psi wob  <number>mt  rpm <number> torque  <number> klbsft ropaob <number>mhr  ropao  <number>mhr dynamic down hole loss <number>hr total down hole loss <number> xxunitmwin<number> sg mw out <number> sgformation ummerradhuma reamed and back reamed each stand driled twice pumped <number> of hivislcm each stand drilled lcm returns at surface 
Other,rotary drlg <number> vertical hole from <number>m to <number>m flow rate <number> lm spp  <number> psi wob  <number>mt  rpm <number> torque  <number> klbsft ropaob <number> mhr  ropao  <number> mhr dynamic down hole loss <number> m<number>hr total down hole loss <number> m<number> displaced hole to <number> sg fcl polymer mud  xxunitmwin<number> sg mw out <number> sgformation ummerradhuma reamed and back reamed each stand driled twice pumped water asxxunitaspacer ahead displaced hole to <number> mud while drlg at <number>m 
Loss circulation,established parameters and confirmed losses at <number> gpm due to apparent packoff around stabilisers lost <number> bbls 
Other,monitored well on tt and observed returns from formation returns slowed until tt static  <number> bbl's returned 
Other,attempted to pooh from <number>m observed well swabbing flow checked  ok continued pooh observe
Other,pumped ooh <number>spm from <number>m to <number>m filled hole below bit with theoretical hole volume while pumping out 
Other,pumped to clear pack off max pressure <number>psi  partial returns observedxxunitintt increased circulating rate
Other,continued pooh from <number>m to <number>m
Other,continued pooh with bha from <number>m to surface broke off bit moved stabs pony dc and dc to aux well
Other,made up bha <number> and rih from surface to <number>m
Other,circulated bottoms up max gas <number>% no cuttings at shakers 
Other,rih from <number>m to <number>m observed <number>klb's resistance
Other,washed and reamed from <number>m to <number>m observed torque and pressure spikes  indicating pack off 
Other,backreamed from <number>m to <number>m observed torque and pressure spikes at <number>m hole packedoff with <number>xxunitpsi
Other,circulated bottoms up observed shakers loaded with cuttings and gas peak of <number>% after <number> of bottoms up
Other,continued to circulate increasing circulating ratexxunitin<number>gpm stages increased circulating rate up to <number>gpm ecd 
Other,performed lot  injectivity test pumped <number>bbl's <number>ppg mud <number>bbl's returned max pressure <number> psi
Stuck Pipe,observed string packing off pressure increase from <number>psi  <number>psi and torque increase lost returns able to 
Other,established circulating parameters <number>rpm  <number>gpm reamed from <number>m to <number>m <number>bbl's returned from formation 
Other,at <number>m circulated open hole volume at <number>gpm <number>xxunitpsi no losses 
Other,washed and reamed from <number>m to <number>m <number>gpm <number> rpm <number>psi
Other,drilled <number> hole from <number>m to <number>m restricted drilling parameters to <number>mhr for <number>hr and then circulate for 
Other,worked stand prior to connection circulating pressure <number>psi hole cleaning ineffective due to spp increase
Other,backreamed from <number>m to <number>m <number> gpm <number>rpm holexxunitingood condition no overpull or pressure  torque spikes 
Other,continued back reaming from <number>m to <number>m no overpull or pressure  torque spikes 
Other,circulated bottoms up fines and cuttings observed at bottoms up 
Other,washedxxunitinhole from <number>m to <number>m rotation required to pass <number>m  
Stuck Pipe,established circulating parameters at <number>gpm <number>psi attempted to increase circulating rate to <number>gpm 
Other,pooh from <number>m to <number>m  no overpull 
Stuck Pipe,observed string taking weight <number>klb's attempted to wash past obstruction  string packed off 
Other,spotted <number>ppg mud from <number>m to <number>m 
Other,pooh from <number>m to <number>m with no hole problems 
Loss circulation,flow checked well at <number>m  <number>bbl'shr  static monitored well and reconfirmed loss rate 
Loss circulation,pooh from <number>m to <number>m no hole problems observed 
Loss circulation,monitored well on trip tank  loss rate <number> bbl'shr prepared mud pits for diluting mud system to <number>ppg 
Loss circulation,displaced ck and boost lines to <number>ppg mud
Loss circulation,prepared mud pits for displacing well to <number>ppg
Loss circulation,displaced well to <number>ppg mud 
Loss circulation,continued to displace well to <number>ppg large visible increasexxunitincuttings when bottoms up returned at shakers 
Loss circulation,monitored well on tt loss rate  <number> bbl'shr 
Other,pooh from <number>m to surface flow checked at bop's for <number> mins loss rate  <number>bblshr loss rate while pooh 
Other,held pjsm rigged up for wireline logging
Other,made up toolstring <number>  vsi cw <number> shuttles 
Other,rih with run <number> from surface to <number>m logged ooh from <number>m to <number>m  <number>shots station  <number> stations 
Other,pooh with run <number> from <number>m to surface laid down tools 
Other,made up toolstring <number>  pexhngshrlabhcgr
Other,continued making up toolstring <number>   pexhngshrlabhcgr
Stuck Pipe,ream from <number>m to <number>m packoff  no returns or rotation work pipe and free string reestablish returns
Other,ream out of hole slowly from <number>m to <number>m observe sudden pressure drop from <number>psi to <number>psi 
Other,continue to ream out of hole from <number>m to <number>m observe gas peak <number>% from <number>m 
Other,pump <number>bbls hivis and circulate out until shakers clean large volume of cuttings observed at shakers
Other,rih from <number>m to <number>m
Other,ream down working <number>m intervals from <number>m to <number>m while displacing hole to <number>ppg kcl mud work
Other,pump <number>bbls hivis pill and circulate into riser spot further <number>bbls hivis pill on bottom
Other,pump out of hole without rotation from <number>m to <number>m
Other,pump <number>bbl hivis pill and circulate out no increasexxunitincuttings at shakers
Other,pooh from <number>m to <number>m
Other,pooh from <number>m to surface lay out jar and break off bit
Other,make up jetting sub and vetco mpt function test mpt rih from surface to <number>m 
Other,function test middle pipe ram to clear cavity and jet bopwellhead with <number>gpm <number>psi
Other,land out on nsp at <number>m with <number>klbs down release nsp with <number>klbs overpull pick up and jet wellhead
Other,pooh with nsp and jetting assembly release nsp from mpt service and rack back mptjet sub
Stuck Pipe,npt worked string down till get free <number> m worked string down with  wiegth  pumping out  fired the jar applying <number>xxunittonslack off several time  pumped out flow rate  <number>  <number> ltsmin spp  <number> psi till get free downhole losses <number>  <number> m<number>hr
Other,pooh from <number> m to <number> m  observed tight spot from <number> m to <number> m tayarat umm erradhum performed backreaming pumped out flow rate  <number> ltsmin spp  <number> psi rpm  <number> till free  <number>xxunitmfirst single of the stand tried to pooh w backreaming  pumping out w success   <number>xxunitmsecond single of the stand tried to pooh wo backreaming  pumping out after <number>xxunitm observed mo <number>  <number> ton tried to get free going down no free  <number>xxunitmgot stuck circulating <number> % not free motion updown  downhole losses <number>xxunitmthre <number> m<number>hr
Stuck Pipe,npt  worked string down till get free  <number>xxunitmworked string down with weight  pumping out  fired the jar applying <number>xxunittonslack off several time  pumped out flow rate  <number> ltsmin spp  <number>psi till get free downhole losses <number>xxunitmthre <number> m<number>hr
Other,npt  performed reaming from <number> m to <number> m several time the stand prior to continue pooh flow rate  <number> ltmin spp  <number> psi rpm  <number> downhole losses  <number>xxunitmthre <number> m<number>hr
